"laufindexFolge";"id";"questionNumber";"typ";"fragetextAktuellerBeruf";"fragetextVergangenerBeruf";"antwort.pos";"antwort.text";"antwort.kldb";"antwort.isco";"followUp"
219;"1742";1;"";"";"";"1";"Ja";"28314";"2141";NA
220;"1742";1;"";"";"";"2";"Nein";"28313";"3119";NA
221;"1743";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
222;"1743";1;"";"";"";"1";"Ja";"51193";"3151";"FALSE"
223;"1743";1;"";"";"";"2";"Nein";"51132";"8350";NA
224;"1743";2;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
225;"1743";2;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"51132";"8350";NA
226;"1743";2;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"51133";"3151";NA
227;"1743";2;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich der Schiffsbetriebstechnik";"51133";"3151";NA
228;"1743";2;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich der Schiffsbetriebstechnik";"51134";"3151";NA
229;"1744";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
230;"1744";1;"";"";"";"1";"Ja";"51234";"2152";NA
231;"1744";1;"";"";"";"2";"Nein";"51233";"3155";NA
232;"1745";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
233;"1745";1;"";"";"";"1";"Nein";"51242";"8343";NA
234;"1745";1;"";"";"";"2";"Ja";"51243";"3112";NA
235;"1746";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
236;"1746";1;"";"";"";"1";"Ja";"51504";"2164";"FALSE"
237;"1746";1;"";"";"";"2";"Nein";"51503";"3119";NA
238;"1746";2;"sonstige";"Mit welchem Verkehrssystem beschäftigen Sie sich?";"Mit welchem Verkehrssystem haben Sie sich beschäftigt?";"";"";"";"";""
239;"1746";2;"";"";"";"1";"Straßenverkehr";"51513";"3119";NA
240;"1746";2;"";"";"";"2";"Schienenverkehr";"51523";"3119";NA
241;"1746";2;"";"";"";"3";"mehrere Verkehrssysteme";"51503";"3119";NA
242;"1747";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Betriebswirtschaftslehre erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Betriebswirtschaftslehre erforderlich?";"";"";"";"";""
243;"1747";1;"";"";"";"1";"Ja";"61124";"2433";NA
244;"1747";1;"";"";"";"2";"Nein";"61123";"3322";NA
245;"1748";1;"sonstige";"Handelt Ihr Unternehmen mit Waren aus unterschiedlichen Branchen?";"Hat Ihr Unternehmen mit Waren aus unterschiedlichen Branchen gehandelt?";"";"";"";"";""
246;"1748";1;"";"";"";"1";"Ja";"61203";"3324";NA
247;"1748";1;"";"";"";"2";"Nein";"61283";"3324";NA
248;"1748";2;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
249;"1748";2;"";"";"";"1";"Ja";"61204 bzw 61284";"2433";NA
250;"1748";2;"";"";"";"2";"Nein";"61203 bzw 61283";"3324";NA
251;"1749";1;"sonstige";"Handelt Ihr Unternehmen mit Waren aus unterschiedlichen Branchen?";"Hat Ihr Unternehmen mit Waren aus unterschiedlichen Branchen gehandelt?";"";"";"";"";""
252;"1749";1;"";"";"";"1";"Ja";"61213";"3324";NA
253;"1749";1;"";"";"";"2";"Nein";"61283";"3324";NA
254;"1749";2;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
255;"1749";2;"";"";"";"1";"Ja";"61214 bzw 61284";"2433";NA
256;"1749";2;"";"";"";"2";"Nein";"61213 bzw 61283";"3324";NA
257;"1750";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
258;"1750";1;"";"";"";"1";"Ja";"62194";"1420";NA
259;"1750";1;"";"";"";"2";"Nein";"62193";"5222";NA
260;"1764";1;"sonstige";"Reinigen Sie das Verkehrsmittel hauptsächlich von innen oder von außen?";"Haben Sie das Verkehrsmittel hauptsächlich von innen oder von außen gereinigt?";"";"";"";"";""
261;"1764";1;"";"";"";"1";"von innen";"54152";"9112";NA
262;"1764";1;"";"";"";"2";"von außen";"54152";"9122";NA
263;"1770";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
264;"1770";1;"";"";"";"1";"Nein";"43412";"2514";NA
265;"1770";1;"";"";"";"2";"Ja";"43413";"2512";NA
266;"1771";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
267;"1771";1;"";"";"";"1";"Ja";"43384";"2529";NA
268;"1771";1;"";"";"";"2";"Nein";"43383";"2529";NA
269;"1772";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
270;"1772";1;"";"";"";"1";"Ja";"43314";"2523";NA
271;"1772";1;"";"";"";"2";"Nein";"43313";"3513";NA
272;"1773";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
273;"1773";1;"";"";"";"1";"Ja";"42334";"2263";NA
274;"1773";1;"";"";"";"2";"Nein";"42333";"3257";NA
275;"1774";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
276;"1774";1;"";"";"";"1";"Ja";"42324";"2133";NA
277;"1774";1;"";"";"";"2";"Nein";"42323";"3257";NA
278;"1775";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
279;"1775";1;"";"";"";"1";"Nein";"31102";"3112";"FALSE"
280;"1775";1;"";"";"";"2";"Ja";"31103";"3112";NA
281;"1775";2;"spezialisierung";"Arbeiten Sie hauptsächlich an Projekten im Hochbau, im Tiefbau oder an Projekten im Hoch- und Tiefbau gleichermaßen?";"Haben Sie hauptsächlich an Projekten im Hochbau, im Tiefbau oder an Projekten im Hoch- und Tiefbau gleichermaßen gearbeitet?";"";"";"";"";""
282;"1775";2;"";"";"";"1";"im Hochbau (d.h. Errichtung von Gebäuden)";"32103";"3112";NA
283;"1775";2;"";"";"";"2";"im Tiefbau (d.h. Bauarbeiten an Rohrleitungen, Tunneln, Straßen, Brücken, Kanälen, Gleisen usw.)";"32203";"3112";NA
284;"1775";2;"";"";"";"3";"im Hoch- und Tiefbau gleichermaßen";"31103";"3112";NA
285;"1776";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
286;"1776";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"31132";"3112";NA
287;"1776";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"31133";"3112";NA
288;"1776";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Verkehrs- oder Bauingenieurwesen";"31133";"3112";NA
289;"1776";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Verkehrs- oder Bauingenieurwesen";"31134";"2164";NA
290;"1777";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
291;"1777";1;"";"";"";"1";"Ja";"31154";"2161";NA
292;"1777";1;"";"";"";"2";"Nein";"31153";"3112";NA
293;"1778";1;"anforderungsniveau";"Ist für Ihre Tätigkeit ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen oder Architektur erforderlich?";"War für diese Tätigkeit ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen oder Architektur erforderlich?";"";"";"";"";""
294;"1778";1;"";"";"";"1";"Ja";"32104";"2142";NA
295;"1778";1;"";"";"";"2";"Nein";"32103";"3112";NA
296;"1779";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen oder Architektur erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen oder Architektur erforderlich?";"";"";"";"";""
297;"1779";1;"";"";"";"1";"Ja";"32204";"2142";NA
298;"1779";1;"";"";"";"2";"Nein";"32203";"3112";NA
299;"1780";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Bauingenieurwesen erforderlich?";"";"";"";"";""
300;"1780";1;"";"";"";"1";"Ja";"32224";"2142";NA
301;"1780";1;"";"";"";"2";"Nein";"32223";"3112";NA
302;"1781";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
303;"1781";1;"";"";"";"1";"Ja";"32264";"2142";NA
304;"1781";1;"";"";"";"2";"Nein";"32263";"3112";NA
305;"1782";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
306;"1782";1;"";"";"";"1";"Ja";"34104";"2142";NA
307;"1782";1;"";"";"";"2";"Nein";"34103";"3112";NA
308;"1783";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
309;"1783";1;"";"";"";"1";"Ja";"34293";"3123";"FALSE"
310;"1783";1;"";"";"";"2";"Nein";"34233";"3115";NA
311;"1783";2;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
312;"1783";2;"";"";"";"1";"Ja";"34234";"2144";NA
313;"1783";2;"";"";"";"2";"Nein";"34233";"3115";NA
314;"1784";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
315;"1784";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"34302";"7126";NA
316;"1784";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"34303";"3115";NA
317;"1784";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"34303";"3115";NA
318;"1784";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"34304";"2144";NA
319;"1785";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
320;"1785";1;"";"";"";"1";"Ja";"34314";"2143";NA
321;"1785";1;"";"";"";"2";"Nein";"34313";"3115";NA
322;"1786";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
323;"1786";1;"";"";"";"1";"Ja";"34324";"2142";NA
324;"1786";1;"";"";"";"2";"Nein";"34323";"3112";NA
325;"1787";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
326;"1787";1;"";"";"";"1";"eine kurze Anlernphase";"34301";"9612";NA
327;"1787";1;"";"";"";"2";"eine abgeschlossene Berufsausbildung";"34332";"9612";NA
328;"1787";1;"";"";"";"3";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"34333";"3132";NA
329;"1787";1;"";"";"";"4";"ein abgeschlossenes Bachelorstudium";"34333";"3132";NA
330;"1787";1;"";"";"";"5";"ein abgeschlossenes Masterstudium";"34334";"2143";NA
331;"1788";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Mathematik erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Mathematik erforderlich?";"";"";"";"";""
332;"1788";1;"";"";"";"1";"Ja";"41104";"2120";NA
333;"1788";1;"";"";"";"2";"Nein";"41103";"2120";NA
334;"1789";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
335;"1789";1;"";"";"";"1";"Ja";"41294";"1349";NA
336;"1789";1;"";"";"";"2";"Nein";"41293";"3141";NA
337;"1790";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Chemie erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Chemie erforderlich?";"";"";"";"";""
338;"1790";1;"";"";"";"1";"Ja";"41304";"2113";NA
339;"1790";1;"";"";"";"2";"Nein";"41303";"2113";NA
340;"1791";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
341;"1791";1;"";"";"";"1";"Nein";"41312";"8131";NA
342;"1791";1;"";"";"";"2";"Ja";"41313";"3116";NA
343;"1792";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
344;"1792";1;"";"";"";"1";"Ja";"41394";"1349";NA
345;"1792";1;"";"";"";"2";"Nein";"41393";"3122";NA
346;"1793";1;"anforderungsniveau";"Ist für Ihre in der Regel Tätigkeit ein abgeschlossenes Masterstudium im Bereich Physik erforderlich?";"War für Ihre in der Regel Tätigkeit ein abgeschlossenes Masterstudium im Bereich Physik erforderlich?";"";"";"";"";""
347;"1793";1;"";"";"";"1";"Ja";"41404";"2111";NA
348;"1793";1;"";"";"";"2";"Nein";"41403";"2111";NA
349;"1794";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
350;"1794";1;"";"";"";"1";"Nein";"41422";"3111";NA
351;"1794";1;"";"";"";"2";"Ja";"41423";"3111";NA
352;"1795";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
353;"1795";1;"";"";"";"1";"Nein";"41432";"3112";NA
354;"1795";1;"";"";"";"2";"Ja";"41433";"3112";NA
355;"1796";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
356;"1796";1;"";"";"";"1";"Ja";"41494";"1349";NA
357;"1796";1;"";"";"";"2";"Nein";"41493";"3122";NA
358;"1797";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
359;"1797";1;"";"";"";"1";"Nein";"42112";"3111";NA
360;"1797";1;"";"";"";"2";"Ja";"42113";"3111";NA
361;"1798";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
362;"1798";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"42142";"3111";NA
363;"1798";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"42143";"3111";NA
364;"1798";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Meteorologie";"42143";"3111";NA
365;"1798";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Meteorologie";"42144";"2112";NA
366;"1799";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Umweltschutztechnik erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Umweltschutztechnik erforderlich?";"";"";"";"";""
367;"1799";1;"";"";"";"1";"Ja";"42204";"2143";NA
368;"1799";1;"";"";"";"2";"Nein";"42203";"3119";NA
369;"1800";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
370;"1800";1;"";"";"";"1";"Ja";"41394";"1321";NA
371;"1800";1;"";"";"";"2";"Nein";"41393";"3122";NA
372;"1807";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
373;"1807";1;"";"";"";"1";"Ja";"81394";"1324";NA
374;"1807";1;"";"";"";"2";"Nein";"81393";"2221";NA
375;"1820";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
376;"1820";1;"";"";"";"1";"Nein";"63112";"4221";NA
377;"1820";1;"";"";"";"2";"Ja";"63113";"4221";NA
378;"1821";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
379;"1821";1;"";"";"";"1";"Nein";"63212";"3343";NA
380;"1821";1;"";"";"";"2";"Ja";"63213";"3343";NA
381;"1822";1;"sonstige";"Ist Ihre Stellung mindestens die eines 'Chef de Rang' oder vergleichbar?";"War Ihre Stellung mindestens die eines 'Chef de Rang' oder vergleichbar?";"";"";"";"";""
382;"1822";1;"";"";"";"1";"Nein";"63302";"5131";NA
383;"1822";1;"";"";"";"2";"Ja";"63303";"5131";NA
384;"1823";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
385;"1823";1;"";"";"";"1";"Nein";"72212";"4311";NA
386;"1823";1;"";"";"";"2";"Ja";"72213";"3313";NA
387;"1824";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
388;"1824";1;"";"";"";"1";"Ja";"72224";"2411";NA
389;"1824";1;"";"";"";"2";"Nein";"72223";"3313";NA
390;"1825";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
391;"1825";1;"";"";"";"1";"Ja";"73324";"2622";NA
392;"1825";1;"";"";"";"2";"Nein";"73323";"3433";NA
393;"1826";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
394;"1826";1;"";"";"";"1";"Nein";"81142";"3240";NA
395;"1826";1;"";"";"";"2";"Ja";"81143";"3240";NA
396;"1827";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
397;"1827";1;"";"";"";"1";"Ja";"81394";"1342";NA
398;"1827";1;"";"";"";"2";"Nein";"81393";"2221";NA
399;"1828";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
400;"1828";1;"";"";"";"1";"Nein";"82232";"3259";NA
401;"1828";1;"";"";"";"2";"Ja";"82233";"2265";NA
402;"1829";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
403;"1829";1;"";"";"";"1";"Ja";"82504";"2149";NA
404;"1829";1;"";"";"";"2";"Nein";"82503";"3119";NA
405;"1830";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
406;"1830";1;"";"";"";"1";"Ja";"82594";"1321";NA
407;"1830";1;"";"";"";"2";"Nein";"82593";"3214";NA
408;"1831";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
409;"1831";1;"";"";"";"1";"Ja";"82594";"1321";NA
410;"1831";1;"";"";"";"2";"Nein";"82593";"3214";NA
411;"1832";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
412;"1832";1;"";"";"";"1";"Ja";"82594";"1321";NA
413;"1832";1;"";"";"";"2";"Nein";"82593";"3254";NA
414;"1833";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
415;"1833";1;"";"";"";"1";"Ja";"82594";"1321";NA
416;"1833";1;"";"";"";"2";"Nein";"82593";"3214";NA
417;"1834";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
418;"1834";1;"";"";"";"1";"Nein";"83142";"5322";NA
419;"1834";1;"";"";"";"2";"Ja";"83143";"5322";NA
420;"1835";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Archäologie erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Archäologie erforderlich?";"";"";"";"";""
421;"1835";1;"";"";"";"1";"Ja";"91234";"2632";NA
422;"1835";1;"";"";"";"2";"Nein";"91233";"3119";NA
423;"1836";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
424;"1836";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"91342";"3314";"FALSE"
425;"1836";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"91343";"3314";"FALSE"
426;"1836";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"91343";"3314";"FALSE"
427;"1836";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"91344";"2120";NA
428;"1836";2;"spezialisierung";"Welche Aufgaben führen Sie dabei in der Regel aus?";"Welche Aufgaben haben Sie dabei in der Regel ausgeführt?";"";"";"";"";""
429;"1836";2;"";"";"";"1";"Entwicklung statistischer Analysewerkzeuge; Evaluation und Analyse statistischer Daten";"91344";"2120";NA
430;"1836";2;"";"";"";"2";"Erarbeiten von Fragestellungen; Konzeption von Befragungsstudien; Diskussion der Ergebnisse";"91344";"2632";NA
